		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
23.02.22	00:00	6.8	6.9	6.4	90	5.3	0.0	E	0.00	0.9	NNE	6.8	6.8	6.8	1014.5	0.00	0.0	0.481	0.000	6.2	79	2.8	6.0	16.13	 .0785	1402	1	100.0	60
23.02.22	1:00	8.0	8.1	6.8	93	6.9	0.0	ESE	0.00	0.9	NNW	8.0	8.1	8.1	1014.8	0.51	0.0	0.431	0.000	7.4	79	4.0	7.3	16.05	 .0781	1402	1	100.0	60
23.02.22	2:00	8.2	8.8	8.0	92	6.9	0.0	NNW	0.00	1.3	NW	8.2	8.3	8.3	1015.1	5.33	46.2	0.424	0.000	7.9	79	4.5	7.8	16.05	 .0779	1402	1	100.0	60
23.02.22	3:00	7.8	8.2	7.8	94	6.9	0.0	E	0.00	0.9	E	7.8	8.0	8.0	1015.2	0.51	5.6	0.438	0.000	7.8	79	4.4	7.7	16.05	 .0780	1404	1	100.0	60
23.02.22	4:00	7.8	7.9	7.8	94	6.9	0.0	E	0.00	0.9	E	7.8	8.0	8.0	1014.9	0.00	0.0	0.438	0.000	7.7	79	4.3	7.6	16.05	 .0780	1403	1	100.0	60
23.02.22	5:00	7.8	7.9	7.7	95	7.1	0.0	ESE	0.00	0.9	SE	7.8	8.0	8.0	1015.2	0.00	0.0	0.438	0.000	7.6	80	4.3	7.4	16.44	 .0780	1403	1	100.0	60
23.02.22	6:00	7.4	7.9	7.4	94	6.5	0.0	ESE	0.00	0.4	ESE	7.4	7.6	7.6	1015.8	0.00	0.0	0.454	0.000	7.3	80	4.1	7.2	16.45	 .0782	1403	1	100.0	60
23.02.22	7:00	5.4	7.4	5.4	92	4.2	0.0	ENE	0.00	0.4	ENE	5.4	5.4	5.4	1016.0	0.00	0.0	0.539	0.000	5.2	79	1.8	5.0	16.20	 .0789	1405	1	100.0	60
23.02.22	8:00	6.1	6.1	4.9	96	5.5	0.0	E	0.00	0.4	ENE	6.1	6.2	6.2	1016.5	0.00	0.0	0.509	0.000	5.4	81	2.4	5.3	16.91	 .0788	1402	1	100.0	60
23.02.22	9:00	7.4	7.4	6.1	96	6.8	0.0	W	0.00	1.3	WNW	7.4	7.6	7.6	1017.4	0.00	0.0	0.454	0.000	6.9	81	3.9	6.8	16.86	 .0784	1404	1	100.0	60
23.02.22	10:00	7.6	7.6	7.2	95	6.9	0.0	W	0.00	0.9	W	7.6	7.8	7.8	1017.8	0.00	0.0	0.447	0.000	7.7	81	4.7	7.6	16.85	 .0782	1402	1	100.0	60
23.02.22	11:00	8.8	8.8	7.6	92	7.5	0.0	W	0.00	0.4	W	8.8	8.9	8.9	1017.6	0.00	0.0	0.398	0.000	8.7	82	5.8	8.7	17.20	 .0778	1403	1	100.0	60
23.02.22	12:00	9.3	9.4	8.8	92	8.0	0.0	WSW	0.00	0.9	W	9.3	9.5	9.5	1018.2	0.00	0.0	0.377	0.000	9.6	81	6.5	9.6	16.85	 .0776	1405	1	100.0	60
23.02.22	13:00	9.2	9.3	9.1	92	7.9	0.0	W	0.00	1.3	WNW	9.2	9.3	9.3	1018.4	0.00	0.0	0.382	0.000	9.5	81	6.4	9.4	16.85	 .0777	1404	1	100.0	60
23.02.22	14:00	9.1	9.2	9.1	92	7.8	0.0	SW	0.00	1.3	WSW	9.1	9.2	9.2	1018.2	0.51	5.1	0.387	0.000	9.5	81	6.4	9.4	16.85	 .0776	1404	1	100.0	60
23.02.22	15:00	8.8	9.1	8.8	94	7.9	0.0	W	0.00	0.9	SW	8.8	9.1	9.1	1018.2	0.76	1.8	0.396	0.000	9.1	81	6.0	9.1	16.85	 .0778	1404	1	100.0	60
23.02.22	16:00	8.9	8.9	8.8	94	8.0	0.0	W	0.00	0.4	W	8.9	9.1	9.1	1018.2	1.02	1.8	0.394	0.000	9.1	81	6.0	9.0	16.85	 .0778	1405	1	100.0	60
23.02.22	17:00	7.5	8.9	7.4	95	6.8	0.4	W	1.61	2.2	WNW	7.5	7.7	7.7	1019.0	1.02	1.0	0.451	0.000	8.1	81	5.0	8.0	16.85	 .0782	1403	1	100.0	60
23.02.22	18:00	6.8	7.5	6.8	95	6.0	0.0	SSE	0.00	1.3	SSE	6.8	6.9	6.9	1018.8	0.25	1.0	0.481	0.000	7.2	81	4.2	7.1	16.85	 .0784	1405	1	100.0	60
23.02.22	19:00	6.8	6.9	6.7	95	6.1	0.0	ENE	0.00	0.9	ENE	6.8	6.9	6.9	1019.1	0.51	0.0	0.479	0.000	6.8	82	4.0	6.7	17.18	 .0786	1402	1	100.0	60
23.02.22	20:00	6.6	6.9	6.6	95	5.9	0.0	SW	0.00	0.9	W	6.6	6.7	6.7	1019.4	0.51	0.0	0.488	0.000	6.7	82	3.9	6.6	17.19	 .0786	1402	1	100.0	60
23.02.22	21:00	6.5	6.7	6.5	96	5.9	0.0	SW	0.00	0.4	SW	6.5	6.6	6.6	1019.7	0.00	0.0	0.493	0.000	6.6	82	3.8	6.5	17.19	 .0787	1404	1	100.0	60
23.02.22	22:00	6.1	6.6	6.1	92	4.9	0.4	W	1.61	1.8	ESE	6.1	6.1	6.1	1020.3	1.52	5.3	0.509	0.000	6.4	82	3.5	6.3	17.21	 .0788	1404	1	100.0	60
23.02.22	23:00	5.6	6.1	5.6	89	3.9	0.9	ENE	3.22	4.5	NNW	5.6	5.6	5.6	1020.2	1.52	7.4	0.532	0.000	5.4	82	2.6	5.3	17.28	 .0791	1402	1	100.0	60
24.02.22	00:00	5.1	5.6	5.1	88	3.3	0.9	ENE	3.22	4.9	ENE	5.1	5.1	5.0	1020.9	3.56	9.7	0.551	0.000	4.9	82	2.1	4.8	17.31	 .0793	1404	1	100.0	60
24.02.22	1:00	4.2	5.1	4.2	89	2.6	1.3	ENE	4.83	4.9	NNE	3.3	4.2	3.2	1020.9	2.29	10.9	0.588	0.000	4.2	82	1.4	4.0	17.35	 .0796	1401	1	100.0	60
24.02.22	2:00	3.7	4.2	3.7	90	2.2	1.3	ENE	4.83	4.5	E	2.7	3.6	2.6	1021.0	0.25	1.0	0.611	0.000	3.6	83	1.0	3.5	17.65	 .0798	1405	1	100.0	60
24.02.22	3:00	3.3	3.7	3.3	90	1.8	0.9	ENE	3.22	4.5	NNE	3.1	3.3	3.1	1020.8	0.76	2.0	0.625	0.000	3.2	83	0.6	3.1	17.65	 .0799	1404	1	100.0	60
24.02.22	4:00	3.1	3.4	3.1	89	1.4	1.3	ENE	4.83	4.9	E	1.9	3.0	1.9	1020.9	0.25	0.0	0.637	0.000	2.9	83	0.3	2.8	17.65	 .0800	1405	1	100.0	60
24.02.22	5:00	3.1	3.1	3.0	88	1.3	1.3	ENE	4.83	6.7	SSE	1.9	3.0	1.9	1021.0	0.51	0.0	0.637	0.000	2.7	83	0.1	2.6	17.65	 .0800	1403	1	100.0	60
24.02.22	6:00	2.8	3.1	2.8	90	1.3	1.8	ENE	6.44	8.0	N	1.1	2.7	1.0	1021.2	0.00	0.0	0.648	0.000	2.6	83	0.0	2.5	17.65	 .0801	1402	1	100.0	60
24.02.22	7:00	3.1	3.1	2.8	89	1.4	1.8	E	6.44	6.7	ENE	1.3	3.0	1.3	1021.1	0.51	0.0	0.637	0.000	2.6	84	0.2	2.5	17.95	 .0801	1405	1	100.0	60
24.02.22	8:00	2.9	3.2	2.9	89	1.3	1.8	ENE	6.44	6.7	ENE	1.2	2.8	1.1	1021.9	0.76	1.0	0.644	0.000	2.6	84	0.2	2.5	17.95	 .0801	1405	1	100.0	60
24.02.22	9:00	3.2	3.2	2.9	89	1.6	1.3	E	4.83	6.7	S	2.2	3.2	2.1	1022.0	0.25	0.0	0.630	0.000	2.8	84	0.4	2.7	17.95	 .0801	1403	1	100.0	60
24.02.22	10:00	3.6	3.6	3.2	90	2.1	1.8	E	6.44	7.6	N	2.0	3.6	1.9	1022.6	0.00	0.0	0.613	0.000	3.3	84	0.8	3.2	17.95	 .0800	1403	1	100.0	60
24.02.22	11:00	3.9	3.9	3.4	88	2.1	2.2	E	8.05	7.2	S	1.8	3.8	1.8	1022.5	0.00	0.0	0.602	0.000	3.8	84	1.3	3.7	17.95	 .0798	1403	1	100.0	60
24.02.22	12:00	5.1	5.1	3.9	78	1.5	2.2	E	8.05	7.6	ENE	3.2	4.9	3.0	1022.2	0.00	0.0	0.553	0.000	4.8	85	2.5	4.7	18.35	 .0794	1403	1	100.0	60
24.02.22	13:00	6.4	6.6	5.1	74	2.1	2.7	ENE	9.66	8.0	ENE	4.4	6.2	4.2	1022.4	0.00	0.0	0.495	0.000	6.7	85	4.3	6.6	18.35	 .0789	1405	1	100.0	60
24.02.22	14:00	6.0	6.4	5.9	76	2.1	2.7	ENE	9.66	6.7	NE	3.9	5.8	3.7	1022.2	0.00	0.0	0.514	0.000	6.9	84	4.4	6.8	17.95	 .0788	1403	1	100.0	60
24.02.22	15:00	5.3	6.2	5.3	78	1.8	2.7	ENE	9.66	9.4	ENE	3.1	5.2	2.9	1022.4	0.00	0.0	0.542	0.000	6.8	83	4.1	6.8	17.56	 .0788	1403	1	100.0	60
24.02.22	16:00	4.6	5.3	4.6	80	1.5	3.1	ENE	11.27	10.7	NNE	1.9	4.4	1.8	1021.3	0.00	0.0	0.572	0.000	5.6	83	2.9	5.5	17.61	 .0791	1400	1	100.0	60
24.02.22	17:00	3.4	4.6	3.4	89	1.8	3.1	E	11.27	9.8	NE	0.6	3.4	0.5	1021.1	0.00	0.0	0.620	0.000	4.3	83	1.7	4.2	17.65	 .0795	1403	1	100.0	60
24.02.22	18:00	2.9	3.5	2.9	87	1.0	3.1	ENE	11.27	8.9	NE	-0.1	2.8	-0.2	1021.0	1.52	3.3	0.641	0.000	3.1	83	0.5	3.0	17.65	 .0799	1402	1	100.0	60
24.02.22	19:00	2.7	3.0	2.7	86	0.6	3.1	ENE	11.27	10.3	ENE	-0.3	2.6	-0.4	1021.6	1.52	3.3	0.650	0.000	2.4	84	0.0	2.3	17.95	 .0802	1403	1	100.0	60
24.02.22	20:00	2.5	2.7	2.5	88	0.7	3.6	ENE	12.87	9.8	ENE	-0.9	2.4	-1.0	1021.0	1.02	1.5	0.660	0.000	2.2	84	-0.3	2.1	17.95	 .0802	1404	1	100.0	60
24.02.22	21:00	2.6	2.6	2.4	88	0.8	3.1	ENE	11.27	8.9	SSE	-0.4	2.6	-0.5	1020.8	1.02	2.3	0.655	0.000	2.2	84	-0.3	2.1	17.95	 .0802	1405	1	100.0	60
24.02.22	22:00	2.7	2.7	2.6	88	0.9	2.7	E	9.66	9.4	E	0.1	2.7	-0.0	1020.4	0.00	0.0	0.650	0.000	2.3	84	-0.1	2.2	17.95	 .0801	1404	1	100.0	60
24.02.22	23:00	3.0	3.1	2.7	87	1.0	2.2	E	8.05	8.9	ENE	0.8	2.9	0.7	1020.1	0.25	0.0	0.639	0.000	2.4	85	0.2	2.3	18.35	 .0800	1404	1	100.0	60
25.02.22	00:00	3.2	3.4	2.9	88	1.4	2.7	E	9.66	8.0	ESE	0.6	3.2	0.6	1019.2	0.00	0.0	0.630	0.000	2.8	85	0.6	2.7	18.35	 .0799	1404	1	100.0	60
25.02.22	1:00	2.7	3.3	2.6	88	0.9	1.3	ENE	4.83	6.7	SE	1.5	2.6	1.4	1019.0	0.00	0.0	0.653	0.000	2.8	84	0.3	2.7	17.95	 .0799	1402	1	100.0	60
25.02.22	2:00	2.6	2.7	2.4	88	0.8	1.3	SSW	4.83	4.9	ESE	1.4	2.5	1.3	1018.6	0.00	0.0	0.657	0.000	2.5	85	0.2	2.4	18.35	 .0799	1403	1	100.0	60
25.02.22	3:00	2.8	2.8	2.5	88	1.0	1.8	E	6.44	8.5	E	1.1	2.7	1.0	1018.2	0.76	2.5	0.648	0.000	2.4	85	0.2	2.3	18.35	 .0799	1402	1	100.0	60
25.02.22	4:00	3.4	3.4	2.8	88	1.6	1.3	ENE	4.83	8.0	ENE	2.3	3.3	2.3	1017.4	4.06	9.4	0.623	0.000	2.7	85	0.4	2.6	18.35	 .0798	1405	1	100.0	60
25.02.22	5:00	5.3	5.3	3.4	89	3.6	0.9	ESE	3.22	6.7	SSE	5.3	5.2	5.2	1017.3	0.00	0.0	0.544	0.000	3.8	86	1.7	3.7	19.05	 .0794	1405	1	100.0	60
25.02.22	6:00	3.7	5.3	3.7	93	2.6	0.4	SSE	1.61	1.3	WSW	3.7	3.7	3.7	1016.9	2.54	9.1	0.611	0.000	3.9	84	1.5	3.8	17.95	 .0793	1404	1	100.0	60
25.02.22	7:00	4.6	4.6	3.5	92	3.4	0.4	W	1.61	1.3	WSW	4.6	4.6	4.6	1016.1	0.00	0.0	0.572	0.000	3.9	85	1.6	3.8	18.35	 .0793	1400	1	100.0	60
25.02.22	8:00	5.9	5.9	4.6	89	4.2	1.3	ENE	4.83	6.7	ENE	5.2	5.9	5.2	1015.6	0.00	0.0	0.519	0.000	4.8	85	2.5	4.7	18.35	 .0789	1402	1	100.0	60
25.02.22	9:00	7.2	7.2	5.9	87	5.2	1.8	E	6.44	7.6	NE	6.2	7.2	6.2	1015.4	0.00	0.0	0.463	0.000	6.1	86	3.9	6.1	19.05	 .0785	1405	1	100.0	60
25.02.22	10:00	9.1	9.1	7.2	81	6.0	1.3	E	4.83	5.8	ENE	8.7	9.0	8.7	1014.9	0.00	0.0	0.387	0.000	7.7	86	5.5	7.7	19.05	 .0779	1403	1	100.0	60
25.02.22	11:00	11.2	11.2	9.1	76	7.1	0.4	E	1.61	4.0	ESE	11.2	11.0	11.0	1014.5	0.00	0.0	0.296	0.000	9.7	87	7.7	9.8	19.15	 .0772	1405	1	100.0	60
25.02.22	12:00	12.3	13.1	11.3	72	7.4	0.4	W	1.61	2.7	ESE	12.3	11.9	11.9	1014.1	0.00	0.0	0.252	0.000	13.2	84	10.6	13.1	17.85	 .0761	1405	1	100.0	60
25.02.22	13:00	11.4	12.6	11.4	77	7.6	0.4	W	1.61	3.6	E	11.4	11.2	11.2	1013.9	0.00	0.0	0.287	0.000	12.7	83	9.9	12.6	17.37	 .0763	1404	1	100.0	60
25.02.22	14:00	7.8	11.4	7.8	84	5.3	0.4	W	1.61	1.8	W	7.8	7.8	7.8	1014.0	0.00	0.0	0.438	0.000	9.7	83	6.9	9.7	17.73	 .0773	1405	1	100.0	60
25.02.22	15:00	6.3	7.8	6.2	87	4.3	0.4	W	1.61	2.7	W	6.3	6.3	6.3	1014.3	0.00	0.0	0.502	0.000	7.9	84	5.4	7.9	18.00	 .0778	1403	1	100.0	60
25.02.22	16:00	6.7	6.7	6.2	87	4.7	0.0	W	0.00	0.9	W	6.7	6.7	6.7	1014.1	0.00	0.0	0.484	0.000	7.7	84	5.1	7.6	17.98	 .0779	1403	1	100.0	60
25.02.22	17:00	6.7	7.1	6.7	87	4.7	0.4	W	1.61	1.8	SW	6.7	6.7	6.7	1014.2	0.00	0.0	0.484	0.000	7.7	84	5.1	7.6	17.98	 .0779	1401	1	100.0	60
25.02.22	18:00	6.6	6.9	6.5	87	4.5	0.4	SSE	1.61	1.8	W	6.6	6.6	6.6	1014.1	0.00	0.0	0.491	0.000	7.2	84	4.6	7.1	17.95	 .0781	1404	1	100.0	60
25.02.22	19:00	5.3	6.6	5.3	87	3.3	0.0	SSE	0.00	1.8	SSE	5.3	5.3	5.3	1014.7	0.00	0.0	0.542	0.000	5.9	84	3.4	5.8	17.95	 .0785	1405	1	100.0	60
25.02.22	20:00	4.3	5.3	4.3	89	2.6	0.0	W	0.00	1.3	W	4.3	4.2	4.2	1014.9	0.00	0.0	0.586	0.000	4.7	84	2.2	4.6	17.95	 .0789	1404	1	100.0	60
25.02.22	21:00	3.7	4.3	3.7	90	2.2	0.0	WSW	0.00	0.9	WSW	3.7	3.7	3.7	1015.8	0.00	0.0	0.609	0.000	3.8	84	1.3	3.7	17.95	 .0793	1402	1	100.0	60
25.02.22	22:00	3.6	3.7	3.5	91	2.3	0.0	W	0.00	0.9	W	3.6	3.6	3.6	1015.6	0.00	0.0	0.613	0.000	3.4	85	1.1	3.3	18.35	 .0794	1405	1	100.0	60
25.02.22	23:00	3.4	3.7	3.4	91	2.1	0.0	W	0.00	1.3	WNW	3.4	3.4	3.4	1015.9	0.00	0.0	0.620	0.000	3.4	85	1.2	3.3	18.35	 .0794	1403	1	100.0	60
26.02.22	00:00	3.4	3.5	3.3	91	2.1	0.0	WSW	0.00	0.4	W	3.4	3.4	3.4	1015.9	0.00	0.0	0.620	0.000	3.3	85	1.0	3.2	18.35	 .0794	1402	1	100.0	60
26.02.22	1:00	3.6	3.6	3.4	92	2.4	0.0	WSW	0.00	0.9	SW	3.6	3.5	3.5	1016.6	0.00	0.0	0.616	0.000	3.3	85	1.1	3.2	18.35	 .0795	1403	1	100.0	60
26.02.22	2:00	3.3	3.6	3.3	91	2.0	0.0	WSW	0.00	0.9	WSW	3.3	3.3	3.3	1017.1	0.00	0.0	0.625	0.000	3.3	85	1.0	3.2	18.35	 .0795	1398	1	100.0	60
26.02.22	3:00	3.2	3.3	3.2	93	2.2	0.0	WSW	0.00	0.4	WSW	3.2	3.2	3.2	1017.2	0.00	0.0	0.630	0.000	3.2	85	0.9	3.1	18.35	 .0796	1401	1	100.0	60
26.02.22	4:00	3.1	3.2	3.0	94	2.2	0.0	---	0.00	0.0	---	3.1	3.1	3.1	1017.3	0.25	0.0	0.637	0.000	3.1	85	0.8	3.0	18.35	 .0796	1404	1	100.0	60
26.02.22	5:00	2.8	3.1	2.8	92	1.7	0.0	WNW	0.00	0.9	WNW	2.8	2.8	2.8	1017.8	0.00	0.0	0.646	0.000	2.9	86	0.8	2.8	19.05	 .0797	1401	1	100.0	60
26.02.22	6:00	2.7	2.9	2.7	94	1.9	0.0	SSE	0.00	0.9	S	2.7	2.7	2.7	1018.3	0.00	0.0	0.650	0.000	2.9	86	0.8	2.8	19.05	 .0797	1404	1	100.0	60
26.02.22	7:00	2.5	2.7	2.4	95	1.8	0.0	---	0.00	0.0	---	2.5	2.5	2.5	1018.8	0.00	0.0	0.660	0.000	2.8	86	0.7	2.7	19.05	 .0798	1405	1	100.0	60
26.02.22	8:00	2.3	2.6	2.3	95	1.6	0.0	---	0.00	0.0	---	2.3	2.3	2.3	1019.2	0.00	0.0	0.669	0.000	2.7	85	0.4	2.6	18.35	 .0799	1404	1	100.0	60
26.02.22	9:00	2.2	2.3	2.1	96	1.6	0.0	W	0.00	0.9	W	2.2	2.2	2.2	1019.6	0.25	0.0	0.674	0.000	2.6	86	0.5	2.5	19.05	 .0800	1404	1	100.0	60
26.02.22	10:00	2.6	2.6	2.1	96	2.0	0.0	W	0.00	0.4	W	2.6	2.6	2.6	1020.3	0.00	0.0	0.655	0.000	3.1	86	0.9	2.9	19.05	 .0799	1404	1	100.0	60
26.02.22	11:00	3.1	3.2	2.6	95	2.4	0.0	W	0.00	0.9	WSW	3.1	3.1	3.1	1020.9	0.00	0.0	0.634	0.000	3.5	86	1.4	3.4	19.05	 .0798	1405	1	100.0	60
26.02.22	12:00	3.1	3.3	3.0	94	2.2	0.0	W	0.00	1.3	W	3.1	3.1	3.1	1021.2	0.00	0.0	0.637	0.000	3.7	86	1.5	3.6	19.05	 .0797	1403	1	100.0	60
26.02.22	13:00	2.7	3.0	2.6	94	1.8	0.4	W	1.61	1.3	WSW	2.7	2.7	2.7	1021.6	0.00	0.0	0.653	0.000	3.4	86	1.3	3.3	19.05	 .0799	1402	1	100.0	60
26.02.22	14:00	2.7	2.7	2.5	94	1.9	0.4	W	1.61	1.8	SW	2.7	2.7	2.7	1022.4	0.00	0.0	0.650	0.000	3.3	86	1.2	3.2	19.05	 .0800	1404	1	100.0	60
26.02.22	15:00	2.6	3.1	2.6	94	1.7	0.4	WNW	1.61	2.2	NNW	2.6	2.6	2.6	1022.7	0.00	0.0	0.655	0.000	3.6	86	1.4	3.4	19.05	 .0799	1401	1	100.0	60
26.02.22	16:00	2.0	2.6	2.0	96	1.4	0.4	NW	1.61	2.2	NW	2.0	2.0	2.0	1023.4	0.00	0.0	0.681	0.000	2.9	85	0.6	2.8	18.35	 .0802	1403	1	100.0	60
26.02.22	17:00	1.9	2.1	1.9	96	1.4	0.4	NW	1.61	2.2	NW	1.9	1.9	1.9	1023.9	0.00	0.0	0.683	0.000	2.6	86	0.5	2.5	19.05	 .0803	1405	1	100.0	60
26.02.22	18:00	1.9	1.9	1.8	96	1.3	0.4	N	1.61	1.8	NW	1.9	1.9	1.9	1024.6	0.00	0.0	0.685	0.000	2.3	86	0.2	2.2	19.05	 .0804	1403	1	100.0	60
26.02.22	19:00	1.8	1.9	1.8	94	1.0	0.0	NNW	0.00	1.3	NW	1.8	1.8	1.8	1025.6	0.25	0.0	0.688	0.000	2.1	86	0.0	2.0	19.05	 .0806	1405	1	100.0	60
26.02.22	20:00	1.9	1.9	1.8	94	1.0	0.0	N	0.00	0.9	N	1.9	1.9	1.9	1026.1	0.00	0.0	0.685	0.000	2.0	86	-0.1	1.9	19.05	 .0807	1401	1	100.0	60
26.02.22	21:00	1.8	1.9	1.8	95	1.1	0.0	NNW	0.00	0.9	NNW	1.8	1.8	1.8	1026.5	0.00	0.0	0.688	0.000	2.0	86	-0.1	1.9	19.05	 .0807	1403	1	100.0	60
26.02.22	22:00	1.8	1.9	1.8	95	1.1	0.0	WNW	0.00	0.4	NW	1.8	1.8	1.8	1026.6	0.00	0.0	0.688	0.000	2.0	86	-0.1	1.9	19.05	 .0807	1403	1	100.0	60
26.02.22	23:00	1.9	2.0	1.8	95	1.2	0.0	WNW	0.00	0.4	WNW	1.9	1.9	1.9	1026.8	0.00	0.0	0.683	0.000	2.1	86	0.0	2.0	19.05	 .0807	1403	1	100.0	60
